voice,front,nas,back,round,cons,cont,coronal,ATR,dist,symbol,del. rel.,c.g.,approx,labial,high,strid,ant,dorsal,s.g.,son,lat,syll,low
+,0,-,0,0,+,-,-,0,0,b,-,-,-,+,0,0,0,-,-,-,-,-,0
-,0,-,0,0,+,+,-,0,-,f,+,-,-,+,0,+,0,-,-,-,-,-,0
-,0,-,0,0,+,-,+,0,-,t,-,-,-,-,0,-,+,-,-,-,-,-,0
+,0,-,0,0,+,-,+,0,-,d,-,-,-,-,0,-,+,-,-,-,-,-,0
-,0,-,0,0,+,+,+,0,-,s,+,-,-,-,0,+,+,-,-,-,-,-,0
+,0,-,0,0,+,+,+,0,-,z,+,-,-,-,0,+,+,-,-,-,-,-,0
-,+,-,-,0,+,-,-,0,0,c,-,-,-,-,+,0,0,+,-,-,-,-,-
-,-,-,+,0,+,-,-,0,0,k,-,-,-,-,+,0,0,+,-,-,-,-,-
+,-,-,+,0,+,-,-,0,0,g,-,-,-,-,+,0,0,+,-,-,-,-,-
+,0,+,0,-,+,-,-,0,0,m,0,-,-,+,0,0,0,-,-,+,-,-,0
+,0,+,0,0,+,-,+,0,-,n,0,-,-,-,0,0,+,-,-,+,-,-,0
+,0,-,0,0,+,-,+,0,-,l,0,-,+,-,0,0,+,-,-,+,+,-,0
+,0,-,0,0,+,+,+,0,-,r,0,-,+,-,0,0,+,-,-,+,-,-,0
+,-,-,+,+,-,+,-,0,0,w,0,-,+,+,+,0,0,+,-,+,-,-,-
+,+,-,-,+,-,+,-,+,0,y,0,-,+,+,+,0,0,+,-,+,-,+,-
+,-,-,-,-,-,+,-,+,0,ɨ,0,-,+,-,+,0,0,+,-,+,-,+,-
+,+,-,-,-,-,+,-,+,0,e,0,-,+,-,-,0,0,+,-,+,-,+,-
+,-,-,+,+,-,+,-,+,0,o,0,-,+,+,-,0,0,+,-,+,-,+,-
+,-,-,-,-,-,+,-,-,0,ə,0,-,+,-,-,0,0,+,-,+,-,+,-
+,+,-,-,-,-,+,-,-,0,ɛ,0,-,+,-,-,0,0,+,-,+,-,+,-
+,+,-,-,-,-,+,-,-,0,a,0,-,+,-,-,0,0,+,-,+,-,+,+
