symbol,voice,front,nas,back,round,cons,cont,coronal,ATR,dist,del. rel.,c.g.,approx,labial,high,strid,ant,dorsal,s.g.,son,lat,syll,low
p,-,0,-,0,0,+,-,-,0,0,-,-,-,+,0,0,0,-,-,-,-,-,0
b,+,0,-,0,0,+,-,-,0,0,-,-,-,+,0,0,0,-,-,-,-,-,0
f,-,0,-,0,0,+,+,-,0,-,+,-,-,+,0,+,0,-,-,-,-,-,0
v,+,0,-,0,0,+,+,-,0,-,+,-,-,+,0,+,0,-,-,-,-,-,0
t,-,0,-,0,0,+,-,+,0,-,-,-,-,-,0,-,+,-,-,-,-,-,0
d,+,0,-,0,0,+,-,+,0,-,-,-,-,-,0,-,+,-,-,-,-,-,0
s,-,0,-,0,0,+,+,+,0,-,+,-,-,-,0,+,+,-,-,-,-,-,0
z,+,0,-,0,0,+,+,+,0,-,+,-,-,-,0,+,+,-,-,-,-,-,0
c,-,+,-,-,0,+,-,-,0,0,-,-,-,-,+,0,0,+,-,-,-,-,-
k,-,-,-,+,0,+,-,-,0,0,-,-,-,-,+,0,0,+,-,-,-,-,-
g,+,-,-,+,0,+,-,-,0,0,-,-,-,-,+,0,0,+,-,-,-,-,-
x,-,-,-,+,0,+,+,-,0,0,+,-,-,-,+,0,0,+,-,-,-,-,-
m,+,0,+,0,-,+,-,-,0,0,0,-,-,+,0,0,0,-,-,+,-,-,0
n,+,0,+,0,0,+,-,+,0,-,0,-,-,-,0,0,+,-,-,+,-,-,0
l,+,0,-,0,0,+,-,+,0,-,0,-,+,-,0,0,+,-,-,+,+,-,0
r,+,0,-,0,0,+,+,+,0,-,0,-,+,-,0,0,+,-,-,+,-,-,0
ŋ,+,-,+,+,0,+,-,-,0,0,0,-,-,-,+,0,0,+,-,+,-,-,-
h,-,0,-,0,0,-,+,-,0,0,+,-,-,-,0,0,0,-,+,-,-,-,0
w,+,-,-,+,+,-,+,-,0,0,0,-,+,+,+,0,0,+,-,+,-,-,-
j,+,+,-,-,-,-,+,-,0,0,0,-,+,-,+,0,0,+,-,+,-,-,-
i,+,+,-,-,-,-,+,-,+,0,0,-,+,-,+,0,0,+,-,+,-,+,-
u,+,-,-,+,+,-,+,-,+,0,0,-,+,+,+,0,0,+,-,+,-,+,-
e,+,+,-,-,-,-,+,-,+,0,0,-,+,-,-,0,0,+,-,+,-,+,-
o,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-
ɛ,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,-
ɔ,+,-,-,+,+,-,+,-,-,0,0,-,+,+,-,0,0,+,-,+,-,+,-
a,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+
